,frame,center_x,center_y,axs_1,axs_2,ellipse_phi,y_angle,x_angle
39,39,308.840576171875,187.32191467285156,27.770458221435547,86.71031951904297,78.33671569824219,-60.000001669652114,-21.00000058437824
40,40,309.3816833496094,187.3004913330078,28.13995933532715,86.69509887695312,78.77333068847656,-60.000001669652114,-20.000002833280423
41,41,309.8387756347656,187.32798767089844,28.47332191467285,86.69905853271484,79.26374816894531,-60.000001669652114,-19.00000166708803
42,42,310.2961120605469,187.29208374023438,28.70952796936035,87.0849609375,79.9100341796875,-60.000001669652114,-18.000000500895634
43,43,310.79052734375,187.28306579589844,29.026695251464844,86.87418365478516,80.32890319824219,-60.000001669652114,-17.000002749797822
44,44,311.3231506347656,187.29751586914062,29.272016525268555,86.78846740722656,80.93742370605469,-60.000001669652114,-15.99999816851084
45,45,311.8182373046875,187.27639770507812,29.518688201904297,86.84910583496094,81.40867614746094,-60.000001669652114,-15.000000417413029
46,46,312.2355651855469,187.25242614746094,29.77394676208496,86.97708129882812,81.96812438964844,-60.000001669652114,-13.99999925122063
47,47,312.7449951171875,187.282470703125,30.00885009765625,86.8918685913086,82.51729583740234,-60.000001669652114,-13.00000150012282
48,48,313.3041687011719,187.25498962402344,30.198564529418945,86.8331527709961,83.07886505126953,-60.000001669652114,-12.000000333930425
49,49,313.83392333984375,187.2606964111328,30.34446907043457,86.96231079101562,83.57577514648438,-60.000001669652114,-10.999999167738023
50,50,314.25103759765625,187.26182556152344,30.538394927978516,87.23287200927734,84.22887420654297,-60.000001669652114,-10.000001416640211
